id,name,type
563,762-29-8,COMPOUND
564,85-91-6,COMPOUND
565,58-08-2,COMPOUND
566,67920-63-2,COMPOUND
567,108-21-4,COMPOUND
568,765-70-8,COMPOUND
569,5396-89-4,COMPOUND
570,77-93-0,COMPOUND
571,115-99-1,COMPOUND
572,50-81-7,COMPOUND
573,2639-63-6,COMPOUND
574,18640-74-9,COMPOUND
575,612-15-7,COMPOUND
576,4180-23-8,COMPOUND
577,7756-96-9,COMPOUND
578,2408-37-9,COMPOUND
579,8021-39-4,COMPOUND
580,7392-19-0,COMPOUND
581,104-50-7,COMPOUND
582,80-26-6,COMPOUND
583,112-42-5,COMPOUND
584,108-48-5,COMPOUND
585,65620-50-0,COMPOUND
586,78-70-6,COMPOUND
587,97-54-1,COMPOUND
588,2396-85-,COMPOUND
589,09/12/50,COMPOUND
590,5905-47-5,COMPOUND
591,85536-25-0,COMPOUND
592,128-50-7,COMPOUND
593,5870-68-8,COMPOUND
594,19322-27-1,COMPOUND
595,111-13-7,COMPOUND
596,1118-27-0,COMPOUND
597,823-22-3,COMPOUND
598,1125-88-8,COMPOUND
599,75-18-3,COMPOUND
600,71-23-8,COMPOUND
601,13678-58-5,COMPOUND
602,470-82-6,COMPOUND
603,625-55-8,COMPOUND
604,551-93-9,COMPOUND
605,151-10-0,COMPOUND
606,103-45-7,COMPOUND
607,118-58-1,COMPOUND
608,137-32-6,COMPOUND
609,13419-69-7,COMPOUND
610,142-92-7,COMPOUND
611,100-51-6,COMPOUND
612,473-67-6,COMPOUND
613,2050-87-5,COMPOUND
614,578-58-5,COMPOUND
615,100-86-7,COMPOUND
616,629-33-4,COMPOUND
617,1759-28-0,COMPOUND
618,57129-12-1,COMPOUND
619,112-53-8,COMPOUND
620,94-59-7,COMPOUND
621,7779-80-8,COMPOUND
622,588-67-0,COMPOUND
623,2785-87-7,COMPOUND
624,29811-50-5,COMPOUND
625,53859-34-3,COMPOUND
626,698-27-1,COMPOUND
627,18679-18-0,COMPOUND
628,99-86-5,COMPOUND
629,10024-64-3,COMPOUND
630,71-41-0,COMPOUND
631,589-35-5,COMPOUND
632,5947-36-4,COMPOUND
633,17619-36-2,COMPOUND
634,627-90-7,COMPOUND
635,104-20-1,COMPOUND
636,766-92-7,COMPOUND
637,644-35-9,COMPOUND
638,99-96-7,COMPOUND
639,34413-35-9,COMPOUND
640,105-21-5,COMPOUND
641,541-91-3,COMPOUND
642,99-48-9,COMPOUND
643,91-10-1,COMPOUND
644,638-11-9,COMPOUND
645,505-57-7,COMPOUND
646,513-44-0,COMPOUND
647,598-75-4,COMPOUND
648,53263-58-4,COMPOUND
649,2785-89-9,COMPOUND
650,507-70-0,COMPOUND
651,1604-28-0,COMPOUND
652,56424-87-4,COMPOUND
653,108-24-7,COMPOUND
654,31499-71-5,COMPOUND
655,16630-55-0,COMPOUND
656,106-35-4,COMPOUND
657,124-13-0,COMPOUND
658,15764-16-6,COMPOUND
659,1335-48-4,COMPOUND
660,109-19-3,COMPOUND
661,4312-99-6,COMPOUND
662,22694-96-8,COMPOUND
663,7774-82-5,COMPOUND
664,638-49-3,COMPOUND
665,78-96-6,COMPOUND
666,13678-59-6,COMPOUND
667,15707-23-0,COMPOUND
668,61931-81-5,COMPOUND
669,611-13-2,COMPOUND
670,112-31-2,COMPOUND
671,64-19-7,COMPOUND
672,5837-78-5,COMPOUND
673,123-35-3,COMPOUND
674,91052-69-6,COMPOUND
675,18409-17-1,COMPOUND
676,123-08-0,COMPOUND
677,11031-45-1,COMPOUND
678,25524-95-2,COMPOUND
679,120-58-1,COMPOUND
680,141-12-8,COMPOUND
681,29350-73-0,COMPOUND
682,16491-36-4,COMPOUND
683,3913-80-2,COMPOUND
684,516-06-3,COMPOUND
685,30453-31-7,COMPOUND
686,75-50-3,COMPOUND
687,7367-88-6,COMPOUND
688,98-86-2,COMPOUND
689,13623-11-5,COMPOUND
690,3658-77-3,COMPOUND
691,541-47-9,COMPOUND
692,4-decadienoic_acid_d-lactone,COMPOUND
693,13925-07-0,COMPOUND
694,150-90-3,COMPOUND
695,39741-41-8,COMPOUND
696,92-52-4,COMPOUND
697,13679-85-1,COMPOUND
698,22029-76-1,COMPOUND
699,68-04-2,COMPOUND
700,140-67-0,COMPOUND
701,76-50-6,COMPOUND
702,977044-47-5,COMPOUND
703,98-01-1,COMPOUND
704,10482-56-1,COMPOUND
705,93-92-5,COMPOUND
706,54947-74-9,COMPOUND
707,.,COMPOUND
708,1113-60-6,COMPOUND
709,659-70-1,COMPOUND
710,122-70-3,COMPOUND
711,79-76-5,COMPOUND
712,1073-26-3,COMPOUND
713,2345-26-8,COMPOUND
714,1618-26-4,COMPOUND
715,4695-62-9,COMPOUND
716,606-45-1,COMPOUND
717,104-62-1,COMPOUND
718,4586-22-5,COMPOUND
719,79-09-4,COMPOUND
720,586-82-3,COMPOUND
721,350-03-8,COMPOUND
722,24653-75-6,COMPOUND
723,686-89-4,COMPOUND
724,111-14-8,COMPOUND
725,759-05-7,COMPOUND
726,38818-60-9,COMPOUND
727,95-65-8,COMPOUND
728,505-10-2,COMPOUND
729,746-40-9,COMPOUND
730,112-54-9,COMPOUND
731,495-62-5,COMPOUND
732,76649-25-7,COMPOUND
733,31499-70-4,COMPOUND
734,122-78-1,COMPOUND
735,55066-56-3,COMPOUND
736,110-41-8,COMPOUND
737,103-82-2,COMPOUND
738,881-68-5,COMPOUND
739,112-43-6,COMPOUND
740,7786-58-5,COMPOUND
741,3777-71-7,COMPOUND
742,74-93-1,COMPOUND
743,112-38-9,COMPOUND
744,106-30-9,COMPOUND
745,41453-56-9,COMPOUND
746,107-74-4,COMPOUND
747,501-52-0,COMPOUND
748,111-61-5,COMPOUND
749,5436-21-5,COMPOUND
750,123-66-0,COMPOUND
751,5471-51-2,COMPOUND
752,39924-27-1,COMPOUND
753,1124-11-4,COMPOUND
754,14765-30-1,COMPOUND
755,532-31-1,COMPOUND
756,589-98-0,COMPOUND
757,13466-78-9,COMPOUND
758,119-65-3,COMPOUND
759,122-03-2,COMPOUND
760,144-39-8,COMPOUND
761,928-96-1,COMPOUND
762,122-68-9,COMPOUND
763,15706-73-7,COMPOUND
764,96-17-3,COMPOUND
765,103-28-6,COMPOUND
766,124-10-7,COMPOUND
767,1632-73-1,COMPOUND
768,123-86-4,COMPOUND
769,2277-19-2,COMPOUND
770,1193-11-9,COMPOUND
771,69-72-7,COMPOUND
772,590-86-3,COMPOUND
773,109-15-9,COMPOUND
774,110-39-4,COMPOUND
775,105-86-2,COMPOUND
776,625-80-9,COMPOUND
777,87-20-7,COMPOUND
778,106-73-0,COMPOUND
779,17587-33-6,COMPOUND
780,57500-00-2,COMPOUND
781,14059-92-8,COMPOUND
782,2294-76-0,COMPOUND
783,5355-63-5,COMPOUND
784,105-87-3,COMPOUND
785,94-47-3,COMPOUND
786,616-25-1,COMPOUND
787,539-90-2,COMPOUND
788,123-25-1,COMPOUND
789,7786-47-2,COMPOUND
