compound_id,rel_type,ingredient_id
26,COMP_PART_OF,1361
792,COMP_PART_OF,1361
1001,COMP_PART_OF,1361
534,COMP_PART_OF,1361
395,COMP_PART_OF,1361
179,COMP_PART_OF,1361
671,COMP_PART_OF,1361
630,COMP_PART_OF,1361
1014,COMP_PART_OF,1361
166,COMP_PART_OF,1361
1091,COMP_PART_OF,1361
324,COMP_PART_OF,1361
471,COMP_PART_OF,1361
1094,COMP_PART_OF,1361
473,COMP_PART_OF,1361
191,COMP_PART_OF,1361
546,COMP_PART_OF,1361
954,COMP_PART_OF,1361
201,COMP_PART_OF,1361
338,COMP_PART_OF,1361
419,COMP_PART_OF,1361
465,COMP_PART_OF,472
0,COMP_PART_OF,1120
275,COMP_PART_OF,1120
826,COMP_PART_OF,1120
919,COMP_PART_OF,1120
610,COMP_PART_OF,1120
292,COMP_PART_OF,1120
573,COMP_PART_OF,1120
296,COMP_PART_OF,1120
578,COMP_PART_OF,1120
581,COMP_PART_OF,1120
301,COMP_PART_OF,1120
27,COMP_PART_OF,1120
1064,COMP_PART_OF,1120
862,COMP_PART_OF,1120
595,COMP_PART_OF,1120
33,COMP_PART_OF,1120
600,COMP_PART_OF,1120
608,COMP_PART_OF,1120
317,COMP_PART_OF,1120
611,COMP_PART_OF,1120
886,COMP_PART_OF,1120
333,COMP_PART_OF,1120
62,COMP_PART_OF,1120
56,COMP_PART_OF,1120
345,COMP_PART_OF,1120
73,COMP_PART_OF,1120
628,COMP_PART_OF,1120
351,COMP_PART_OF,1120
792,COMP_PART_OF,1120
366,COMP_PART_OF,1120
912,COMP_PART_OF,1120
913,COMP_PART_OF,1120
644,COMP_PART_OF,1120
645,COMP_PART_OF,1120
918,COMP_PART_OF,1120
93,COMP_PART_OF,1120
571,COMP_PART_OF,1120
97,COMP_PART_OF,1120
657,COMP_PART_OF,1120
384,COMP_PART_OF,1120
660,COMP_PART_OF,1120
393,COMP_PART_OF,1120
114,COMP_PART_OF,1120
397,COMP_PART_OF,1120
670,COMP_PART_OF,1120
673,COMP_PART_OF,1120
682,COMP_PART_OF,1120
684,COMP_PART_OF,1120
522,COMP_PART_OF,1120
131,COMP_PART_OF,1120
215,COMP_PART_OF,1120
415,COMP_PART_OF,1120
880,COMP_PART_OF,1120
136,COMP_PART_OF,1120
703,COMP_PART_OF,1120
704,COMP_PART_OF,1120
971,COMP_PART_OF,1120
973,COMP_PART_OF,1120
888,COMP_PART_OF,1120
153,COMP_PART_OF,1120
346,COMP_PART_OF,1120
156,COMP_PART_OF,1120
439,COMP_PART_OF,1120
165,COMP_PART_OF,1120
171,COMP_PART_OF,1120
449,COMP_PART_OF,1120
1001,COMP_PART_OF,1120
174,COMP_PART_OF,1120
453,COMP_PART_OF,1120
734,COMP_PART_OF,1120
534,COMP_PART_OF,1120
177,COMP_PART_OF,1120
461,COMP_PART_OF,1120
744,COMP_PART_OF,1120
1013,COMP_PART_OF,1120
1014,COMP_PART_OF,1120
185,COMP_PART_OF,1120
1015,COMP_PART_OF,1120
191,COMP_PART_OF,1120
1026,COMP_PART_OF,1120
201,COMP_PART_OF,1120
241,COMP_PART_OF,1120
761,COMP_PART_OF,1120
763,COMP_PART_OF,1120
1040,COMP_PART_OF,1120
951,COMP_PART_OF,1120
218,COMP_PART_OF,1120
787,COMP_PART_OF,1120
1061,COMP_PART_OF,1120
1062,COMP_PART_OF,1120
235,COMP_PART_OF,1120
786,COMP_PART_OF,1120
1067,COMP_PART_OF,1120
521,COMP_PART_OF,1120
865,COMP_PART_OF,1120
1073,COMP_PART_OF,1120
793,COMP_PART_OF,1120
957,COMP_PART_OF,1120
367,COMP_PART_OF,1120
536,COMP_PART_OF,1120
806,COMP_PART_OF,1120
541,COMP_PART_OF,1120
1092,COMP_PART_OF,1120
256,COMP_PART_OF,1120
809,COMP_PART_OF,1120
811,COMP_PART_OF,1120
547,COMP_PART_OF,1120
1101,COMP_PART_OF,1120
268,COMP_PART_OF,1120
821,COMP_PART_OF,1120
554,COMP_PART_OF,1120
1070,COMP_PART_OF,881
913,COMP_PART_OF,1270
543,COMP_PART_OF,1411
288,COMP_PART_OF,190
529,COMP_PART_OF,190
600,COMP_PART_OF,190
466,COMP_PART_OF,1239
357,COMP_PART_OF,1388
788,COMP_PART_OF,571
600,COMP_PART_OF,571
1001,COMP_PART_OF,571
1030,COMP_PART_OF,571
177,COMP_PART_OF,1342
673,COMP_PART_OF,1504
177,COMP_PART_OF,1504
299,COMP_PART_OF,387
974,COMP_PART_OF,1177
136,COMP_PART_OF,277
1012,COMP_PART_OF,788
324,COMP_PART_OF,1154
898,COMP_PART_OF,930
549,COMP_PART_OF,501
715,COMP_PART_OF,501
1018,COMP_PART_OF,501
1018,COMP_PART_OF,1262
759,COMP_PART_OF,428
393,COMP_PART_OF,1175
171,COMP_PART_OF,1175
524,COMP_PART_OF,1175
884,COMP_PART_OF,563
602,COMP_PART_OF,500
21,COMP_PART_OF,1528
204,COMP_PART_OF,229
767,COMP_PART_OF,229
767,COMP_PART_OF,1293
397,COMP_PART_OF,495
298,COMP_PART_OF,218
357,COMP_PART_OF,218
238,COMP_PART_OF,585
715,COMP_PART_OF,10
88,COMP_PART_OF,1251
661,COMP_PART_OF,1251
947,COMP_PART_OF,1251
645,COMP_PART_OF,1251
918,COMP_PART_OF,1251
554,COMP_PART_OF,1251
894,COMP_PART_OF,996
295,COMP_PART_OF,208
295,COMP_PART_OF,530
273,COMP_PART_OF,963
971,COMP_PART_OF,963
348,COMP_PART_OF,963
628,COMP_PART_OF,963
278,COMP_PART_OF,963
767,COMP_PART_OF,963
704,COMP_PART_OF,963
79,COMP_PART_OF,963
965,COMP_PART_OF,963
361,COMP_PART_OF,963
434,COMP_PART_OF,963
778,COMP_PART_OF,963
442,COMP_PART_OF,963
165,COMP_PART_OF,963
378,COMP_PART_OF,963
519,COMP_PART_OF,963
1069,COMP_PART_OF,963
793,COMP_PART_OF,963
243,COMP_PART_OF,963
393,COMP_PART_OF,963
37,COMP_PART_OF,963
177,COMP_PART_OF,963
867,COMP_PART_OF,963
602,COMP_PART_OF,963
460,COMP_PART_OF,963
295,COMP_PART_OF,963
737,COMP_PART_OF,963
250,COMP_PART_OF,963
